Team,Season,TeamID,StarterPointsPer,BenchPointsPer,BenchMinPer,Height,StarterExp,TeamExp,StarterPointsPct,BenchPointsPct,BenchMinPct,HeightPct,StarterExpPct,TeamExpPct
Air Force,2008,1102,0.693967341221571,0.30603265877842895,0.2127574485102979,77.125,3.0,2.375,0.5454545454545454,0.4574780058651026,0.01466275659824047,0.6642228739002932,0.6231671554252199,0.4208211143695015
Akron,2008,1103,0.6412507200120565,0.3587492799879433,0.3466,75.71428571428571,3.8,2.9285714285714284,0.2785923753665689,0.7243401759530792,0.7272727272727273,0.10557184750733138,0.9956011730205279,0.9442815249266863
Alabama,2008,1104,0.736270818789269,0.2637291812107311,0.31512605042016795,77.14285714285714,3.0,2.4285714285714284,0.7448680351906158,0.25806451612903225,0.4310850439882698,0.6744868035190615,0.6231671554252199,0.5029325513196481
Alabama A&M,2008,1105,0.6030450273751854,0.39695497262481455,0.342194683190086,75.46666666666667,2.4,2.1333333333333333,0.1495601173020528,0.8533724340175953,0.6950146627565983,0.06158357771260997,0.1935483870967742,0.17302052785923755
Alabama St.,2008,1106,0.6009838910135116,0.3990161089864885,0.36094437775110044,76.5,3.0,2.5714285714285716,0.14076246334310852,0.8621700879765396,0.8093841642228738,0.3841642228739003,0.6231671554252199,0.7067448680351907
Albany,2008,1107,0.7060155275983226,0.2939844724016774,0.3276,76.75,3.6,2.5,0.6041055718475073,0.39882697947214074,0.5542521994134897,0.5058651026392962,0.9560117302052786,0.6143695014662757
Alcorn St.,2008,1108,0.6234841962449897,0.3765158037550103,0.3696,76.64285714285714,3.2,2.7857142857142856,0.20821114369501467,0.7947214076246334,0.8563049853372434,0.45161290322580644,0.7565982404692082,0.8900293255131965
American,2008,1110,0.7351200576658242,0.26487994233417567,0.2894,76.46153846153847,3.2,2.8461538461538463,0.7360703812316716,0.2668621700879765,0.27419354838709675,0.36656891495601174,0.7565982404692082,0.9164222873900293
Appalachian St.,2008,1111,0.6786976660162347,0.3213023339837653,0.3596,76.76923076923077,2.8,2.6923076923076925,0.44281524926686217,0.5601173020527859,0.8035190615835777,0.5175953079178885,0.4750733137829912,0.8181818181818182
Arizona,2008,1112,0.8119573119381176,0.18804268806188235,0.23064612922584518,77.57142857142857,2.2,2.5,0.9618768328445748,0.04105571847507331,0.04105571847507331,0.8343108504398827,0.10850439882697947,0.6143695014662757
Arizona St.,2008,1113,0.7455756164129093,0.2544243835870909,0.27185437087417486,76.91666666666667,1.8,1.9166666666666667,0.7741935483870968,0.2287390029325513,0.187683284457478,0.5762463343108505,0.030791788856304986,0.04985337243401759
Arkansas,2008,1116,0.7642536158797717,0.23574638412022839,0.3164632926585318,77.76923076923077,3.6,2.6923076923076925,0.8563049853372434,0.1466275659824047,0.45454545454545453,0.8988269794721407,0.9560117302052786,0.8181818181818182
Arkansas Pine Bluff,2008,1115,0.6022309379334498,0.3977690620665502,0.3636177194421657,76.11764705882354,3.6,2.176470588235294,0.1466275659824047,0.8563049853372434,0.8269794721407625,0.2434017595307918,0.9560117302052786,0.2287390029325513
Arkansas St.,2008,1117,0.7592289324057093,0.24077106759429082,0.3332,76.23076923076923,3.2,2.6923076923076925,0.8328445747800587,0.17008797653958943,0.6041055718475073,0.27712609970674484,0.7565982404692082,0.8181818181818182
Army,2008,1119,0.622093261727728,0.37790673827227195,0.3333333333333333,75.9,2.6,2.4,0.20527859237536658,0.7976539589442815,0.6070381231671554,0.17155425219941348,0.32404692082111436,0.4501466275659824
